Campaign	Mass	UTM (E)	UTM (N)	ELEV
DG 578 (2009-Dec 2010-Jun)	25524472528.222282	260890.16085387924	2147472.7543510776	723.193339764326
DG 578 (2010-Jun 2011-Mar)	14486.715675811498	264928.97498528124	2144198.0419232105	-1034.4738264941957
DG 578 (2011-Mar 2012-Jun)	1259356112801.0144	263468.68644565286	2148205.690627459	6855.147603771064
DG 578 (2012-Jun 2012-Nov)	1871857344.1126182	261103.1429387306	2147698.127181738	-521.2399419340927
DG 578 (2012-Nov 2015-Sept)	170125888639.9261	260874.39173214044	2146693.4452991383	2528.806622465071
DG 578 (2015-Sept 2017-Apr)	21813581319.583138	260694.8793726682	2147755.505748677	260.3272877215329
DG 579 (2009-Dec 2010-Jun)	16566128340.203373	261058.77898582295	2147301.480756903	385.8926465957271
DG 579 (2010-Jun 2011-Mar)	1431420549.8031383	261520.77683757286	2147957.668666448	-566.0357822980948
DG 579 (2011-Mar 2012-Jun)	14722579840.876081	260855.3465501042	2147257.362935774	-52.82128907687469
DG 579 (2012-Jun 2012-Nov)	7649972567.357842	261503.90691303898	2148125.2815707093	-52.46093409710918
DG 579 (2012-Nov 2015-Sept)	189345775568.08734	260239.75102457788	2146904.509425101	2808.8929119076165
DG 579 (2015-Sept 2017-Apr)	23088781680.546192	260052.13758771867	2147797.775318933	700.8989766093028
